,pays,code_pays,annee,population
0,Afghanistan,2,2013,30552000
1,Afrique du Sud,202,2013,52776000
2,Albanie,3,2013,3173000
3,Algérie,4,2013,39208000
4,Allemagne,79,2013,82727000
5,Angola,7,2013,21472000
6,Antigua-et-Barbuda,8,2013,90000
7,Arabie saoudite,194,2013,28829000
8,Argentine,9,2013,41446000
9,Arménie,1,2013,2977000
10,Australie,10,2013,23343000
11,Autriche,11,2013,8495000
12,Azerbaïdjan,52,2013,9413000
13,Bahamas,12,2013,377000
14,Bangladesh,16,2013,156595000
15,Barbade,14,2013,285000
16,Bélarus,57,2013,9357000
17,Belgique,255,2013,11104000
18,Belize,23,2013,332000
19,Bénin,53,2013,10323000
20,Bermudes,17,2013,65000
21,Bolivie (État plurinational de),19,2013,10671000
22,Bosnie-Herzégovine,80,2013,3829000
23,Botswana,20,2013,2021000
24,Brésil,21,2013,200362000
25,Brunéi Darussalam,26,2013,418000
26,Bulgarie,27,2013,7223000
27,Burkina Faso,233,2013,16935000
28,Cabo Verde,35,2013,499000
29,Cambodge,115,2013,15135000
30,Cameroun,32,2013,22254000
31,Canada,33,2013,35182000
32,Chili,40,2013,17620000
33,Chine,351,2013,1416667000
34,Chine - RAS de Hong-Kong,96,2013,7204000
35,Chine - RAS de Macao,128,2013,566000
36,"Chine, continentale",41,2013,1385567000
37,"Chine, Taiwan Province de",214,2013,23330000
38,Chypre,50,2013,1141000
39,Colombie,44,2013,48321000
40,Congo,46,2013,4448000
41,Costa Rica,48,2013,4872000
42,Côte d'Ivoire,107,2013,20316000
43,Croatie,98,2013,4290000
44,Cuba,49,2013,11266000
45,Danemark,54,2013,5619000
46,Djibouti,72,2013,873000
47,Dominique,55,2013,72000
48,Égypte,59,2013,82056000
49,El Salvador,60,2013,6340000
50,Émirats arabes unis,225,2013,9346000
51,Équateur,58,2013,15738000
52,Espagne,203,2013,46927000
53,Estonie,63,2013,1287000
54,Eswatini,209,2013,1250000
55,États-Unis d'Amérique,231,2013,320051000
56,Éthiopie,238,2013,94101000
57,Fédération de Russie,185,2013,142834000
58,Fidji,66,2013,881000
59,Finlande,67,2013,5426000
60,France,68,2013,64291000
61,Gabon,74,2013,1672000
62,Gambie,75,2013,1849000
63,Géorgie,73,2013,4341000
64,Ghana,81,2013,25905000
65,Grèce,84,2013,11128000
66,Grenade,86,2013,106000
67,Guatemala,89,2013,15468000
68,Guinée,90,2013,11745000
69,Guinée-Bissau,175,2013,1704000
70,Guyana,91,2013,800000
71,Haïti,93,2013,10317000
72,Honduras,95,2013,8096000
73,Hongrie,97,2013,9955000
74,Îles Salomon,25,2013,561000
75,Inde,100,2013,1252140000
76,Indonésie,101,2013,249866000
77,Iran (République islamique d'),102,2013,77447000
78,Iraq,103,2013,33765000
79,Irlande,104,2013,4627000
80,Islande,99,2013,330000
81,Israël,105,2013,7733000
82,Italie,106,2013,60990000
83,Jamaïque,109,2013,2784000
84,Japon,110,2013,127144000
85,Jordanie,112,2013,7274000
86,Kazakhstan,108,2013,16441000
87,Kenya,114,2013,44354000
88,Kirghizistan,113,2013,5548000
89,Kiribati,83,2013,102000
90,Koweït,118,2013,3369000
91,Lesotho,122,2013,2074000
92,Lettonie,119,2013,2050000
93,Liban,121,2013,4822000
94,Libéria,123,2013,4294000
95,Lituanie,126,2013,3017000
96,Luxembourg,256,2013,530000
97,Macédoine du Nord,154,2013,2107000
98,Madagascar,129,2013,22925000
99,Malaisie,131,2013,29717000
100,Malawi,130,2013,16363000
101,Maldives,132,2013,345000
102,Mali,133,2013,15302000
103,Malte,134,2013,429000
104,Maroc,143,2013,33008000
105,Maurice,137,2013,1244000
106,Mauritanie,136,2013,3890000
107,Mexique,138,2013,122332000
108,Mongolie,141,2013,2839000
109,Monténégro,273,2013,621000
110,Mozambique,144,2013,25834000
111,Myanmar,28,2013,53259000
112,Namibie,147,2013,2303000
113,Népal,149,2013,27797000
114,Nicaragua,157,2013,6080000
115,Niger,158,2013,17831000
116,Nigéria,159,2013,173615000
117,Norvège,162,2013,5043000
118,Nouvelle-Calédonie,153,2013,256000
119,Nouvelle-Zélande,156,2013,4506000
120,Oman,221,2013,3632000
121,Ouganda,226,2013,37579000
122,Ouzbékistan,235,2013,28934000
123,Pakistan,165,2013,182143000
124,Panama,166,2013,3864000
125,Paraguay,169,2013,6802000
126,Pays-Bas,150,2013,16759000
127,Pérou,170,2013,30376000
128,Philippines,171,2013,98394000
129,Pologne,173,2013,38217000
130,Polynésie française,70,2013,277000
131,Portugal,174,2013,10608000
132,République centrafricaine,37,2013,4616000
133,République de Corée,117,2013,49263000
134,République de Moldova,146,2013,3487000
135,République démocratique populaire lao,120,2013,6770000
136,République dominicaine,56,2013,10404000
137,République populaire démocratique de Corée,116,2013,24895000
138,République-Unie de Tanzanie,215,2013,49253000
139,Roumanie,183,2013,21699000
140,Royaume-Uni,229,2013,63384000
141,Rwanda,184,2013,11777000
142,Sainte-Lucie,189,2013,182000
143,Saint-Kitts-et-Nevis,188,2013,54000
144,Saint-Vincent-et-les Grenadines,191,2013,109000
145,Samoa,244,2013,190000
146,Sao Tomé-et-Principe,193,2013,193000
147,Sénégal,195,2013,14133000
148,Serbie,272,2013,9511000
149,Sierra Leone,197,2013,6092000
150,Slovaquie,199,2013,5450000
151,Slovénie,198,2013,2072000
152,Soudan,276,2013,37964000
153,Sri Lanka,38,2013,21273000
154,Suède,210,2013,9571000
155,Suisse,211,2013,8078000
156,Suriname,207,2013,539000
157,Tadjikistan,208,2013,8208000
158,Tchad,39,2013,12825000
159,Tchéquie (la),167,2013,10702000
160,Thaïlande,216,2013,67011000
161,Timor-Leste,176,2013,1133000
162,Togo,217,2013,6817000
163,Trinité-et-Tobago,220,2013,1341000
164,Tunisie,222,2013,10997000
165,Turkménistan,213,2013,5240000
166,Turquie,223,2013,74933000
167,Ukraine,230,2013,45239000
168,Uruguay,234,2013,3407000
169,Vanuatu,155,2013,253000
170,Venezuela (République bolivarienne du),236,2013,30405000
171,Viet Nam,237,2013,91680000
172,Yémen,249,2013,24407000
173,Zambie,251,2013,14539000
174,Zimbabwe,181,2013,14150000
